"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","prev_pitch_type"
"1","3","0","0",9,"1","2",2,0,0,0,1,"1"
"1","3","0","0",9,"1","2",2,0,0,0,1,"1"
"1","1","0","0",8,"0","1",0,1,1,1,-2,"1"
"1","1","0","0",8,"1","2",0,1,1,1,-2,"1"
"1","2","0","1",8,"0","0",1,1,1,1,-2,"-1"
"1","2","0","1",8,"0","1",1,1,1,1,-2,"1"
"1","2","0","1",8,"0","2",1,1,1,1,-2,"1"
"1","2","0","1",8,"0","2",1,1,1,1,-2,"1"
"1","3","0","0",8,"0","0",1,1,1,1,0,"-1"
"1","3","0","0",8,"1","0",1,1,1,1,0,"1"
"1","3","0","0",8,"1","1",1,1,1,1,0,"1"
"1","4","0","1",8,"0","0",2,1,0,1,0,"-1"
"1","4","0","1",8,"0","1",2,1,0,1,0,"1"
"1","4","0","1",8,"1","1",2,0,1,1,0,"1"
"1","4","0","1",8,"2","1",2,0,1,1,0,"1"
"1","4","0","1",8,"2","2",2,0,1,1,0,"1"
"1","4","0","1",8,"2","2",2,0,1,1,0,"1"
"7","1","0","0",9,"0","0",0,0,0,0,1,"-1"
"7","1","0","0",9,"1","0",0,0,0,0,1,"7"
"1","1","0","0",9,"2","1",0,0,0,0,1,"7"
"1","2","0","1",9,"0","0",0,1,0,0,1,"-1"
"1","2","0","1",9,"1","0",0,0,1,0,1,"1"
"1","2","0","1",9,"1","1",0,0,1,0,1,"1"
"1","3","0","1",9,"0","0",1,0,0,1,1,"-1"
"1","3","0","1",9,"1","0",1,0,0,1,1,"1"
"1","3","0","1",9,"1","1",1,0,0,1,1,"1"
"1","3","0","1",9,"2","1",1,0,0,1,1,"1"
"1","4","0","1",9,"0","0",2,0,0,1,1,"-1"
"1","4","0","1",9,"0","1",2,0,0,1,1,"1"
"7","1","0","0",9,"2","1",0,0,0,0,6,"1"
"7","1","0","0",9,"2","2",0,0,0,0,6,"7"
"7","1","0","0",9,"3","2",0,0,0,0,6,"7"
"7","2","0","1",9,"0","0",0,1,0,0,6,"-1"
"1","2","0","1",9,"1","0",0,1,0,0,6,"7"
"1","3","0","0",9,"0","0",0,1,0,1,6,"-1"
"1","3","0","0",9,"0","1",0,1,0,1,6,"1"
"1","3","0","0",9,"0","2",0,1,0,1,6,"1"
"1","4","0","0",9,"0","0",0,1,0,1,5,"-1"
"1","6","0","1",9,"0","1",2,0,1,0,4,"1"
"1","6","0","1",9,"0","2",2,0,1,0,4,"1"
"1","1","0","1",8,"0","1",2,1,0,0,-5,"1"
"1","2","0","1",9,"0","0",0,0,0,0,-5,"-1"
"1","2","0","1",9,"0","1",0,0,0,0,-5,"1"
"1","2","0","1",9,"0","2",0,0,0,0,-5,"1"
"1","2","0","1",9,"1","2",0,0,0,0,-5,"1"
"7","3","0","1",9,"0","0",0,0,0,0,-5,"-1"
"1","3","0","1",9,"1","0",0,0,0,0,-5,"7"
"1","3","0","1",9,"1","1",0,0,0,0,-5,"1"
"1","3","0","1",9,"3","2",0,0,0,0,-5,"1"
"1","3","0","1",9,"3","2",0,0,0,0,-5,"1"
"1","4","0","1",9,"0","0",2,1,0,0,-5,"-1"
"1","1","0","1",8,"1","1",2,1,0,0,4,"1"
"1","1","0","1",8,"1","2",2,1,0,0,4,"1"
"1","2","0","1",9,"0","0",0,0,0,0,4,"-1"
"1","2","0","1",9,"2","2",0,0,0,0,4,"1"
"1","3","0","1",9,"0","0",1,0,0,0,4,"-1"
"7","3","0","1",9,"0","1",1,0,0,0,4,"1"
"1","3","0","1",9,"0","2",1,0,0,0,4,"7"
"1","4","0","1",9,"0","1",1,0,0,0,4,"1"
"1","5","0","1",9,"0","0",2,1,0,0,4,"-1"
"1","5","0","1",9,"0","1",2,0,1,0,4,"1"
"1","5","0","1",9,"2","2",2,0,1,0,4,"1"
"7","1","0","0",9,"1","1",0,0,0,0,1,"1"
"7","1","0","0",9,"1","2",0,0,0,0,1,"7"
"1","2","0","1",9,"1","1",1,0,0,0,1,"7"
"1","2","0","1",9,"2","2",1,0,0,0,1,"1"
"1","2","0","1",9,"2","2",1,0,0,0,1,"1"
"7","3","0","1",9,"0","1",2,0,0,0,1,"1"
"7","3","0","1",9,"1","1",2,0,0,0,1,"7"
"1","3","0","1",9,"3","2",2,0,0,0,1,"7"
"7","1","0","1",7,"0","0",1,0,1,0,-1,"-1"
"1","3","0","1",7,"0","1",2,1,1,0,-1,"7"
"1","3","0","1",7,"1","1",2,1,1,0,-1,"1"
"1","3","0","1",7,"1","2",2,1,1,0,-1,"1"
"7","4","0","1",8,"0","2",0,0,0,0,-1,"1"
"1","6","0","0",8,"2","2",1,0,1,0,-1,"7"
"7","7","0","1",8,"0","0",2,0,1,0,-1,"-1"
"7","7","0","1",8,"1","0",2,0,0,1,-1,"7"
"7","7","0","1",8,"1","1",2,0,0,1,-1,"7"
"1","7","0","1",8,"2","1",2,0,0,1,-1,"7"
"1","7","0","1",8,"2","2",2,0,0,1,-1,"1"
"8","8","0","1",9,"1","2",0,0,0,0,-1,"1"
"1","9","0","1",9,"0","0",1,0,0,0,-1,"-1"
"1","9","0","1",9,"0","1",1,0,0,0,-1,"1"
"7","9","0","1",9,"1","1",1,0,0,0,-1,"1"
"1","1","0","1",9,"0","0",2,0,0,0,-1,"-1"
"1","1","0","1",9,"0","1",2,0,0,0,-1,"1"
"1","1","0","1",9,"0","2",2,0,0,0,-1,"1"
"7","2","0","1",8,"0","0",0,0,0,0,5,"-1"
"1","2","0","1",8,"1","2",0,0,0,0,5,"7"
"1","3","0","1",8,"1","1",0,0,0,0,5,"1"
"7","4","0","1",8,"0","1",2,1,0,0,5,"1"
"7","4","0","1",8,"1","1",2,1,0,0,5,"7"
"1","4","0","1",8,"2","2",2,1,0,0,5,"7"
"1","1","0","1",8,"1","2",1,1,0,0,2,"1"
"1","2","0","1",8,"1","2",1,0,1,0,0,"1"
"7","4","0","1",8,"2","0",2,1,0,0,0,"1"
"7","4","0","1",8,"2","1",2,1,0,0,0,"7"
"7","5","0","1",9,"0","0",0,0,0,0,0,"-1"
"7","5","0","1",9,"0","1",0,0,0,0,0,"7"
"7","5","0","1",9,"1","1",0,0,0,0,0,"7"
"7","5","0","1",9,"3","2",0,0,0,0,0,"7"
"7","6","0","0",9,"0","0",1,0,0,0,0,"-1"
"7","6","0","0",9,"0","1",1,0,0,0,0,"7"
"7","6","0","0",9,"1","1",1,0,0,0,0,"7"
"7","6","0","0",9,"1","2",1,0,0,0,0,"7"
"7","6","0","0",9,"2","2",1,0,0,0,0,"7"
"7","6","0","0",9,"3","2",1,0,0,0,0,"7"
